id;nome_cliente;indirizzo;tipo
1;Card;transform;generating enterprise Surinam
2;Green virtual;capability Quality Up-sized;Home
3;Fantastic Central Usability;initiatives transmitter synthesize;digital
4;Cheese;driver;Ringgit payment blue
5;tan Central indexing;navigate transitional;Intelligent Cambridgeshire background
6;invoice;orange East;Loan facilitate Ball
7;calculating online;Chicken;Cambridgeshire deposit payment
8;Car Account;bandwidth;synergize framework
9;Investment Tuna Orchestrator;Director;Jewelery Garden payment
10;Table Salad Loan;Engineer Security Wooden;Architect vertical
